Character,Absolute Frequency,Relative Frequency,Weight
一,32,0.000220,0.799217
丁,34,0.000234,0.752204
七,35,0.000241,0.730713
万,30,0.000206,0.852498
丈,32,0.000220,0.799217
三,30,0.000206,0.852498
上,43,0.000296,0.594766
下,41,0.000282,0.623779
不,39,0.000268,0.655768
与,19,0.000131,1.346050
丐,20,0.000138,1.278747
丑,19,0.000131,1.346050
且,22,0.000151,1.162498
丕,18,0.000124,1.420830
世,34,0.000234,0.752204
丘,30,0.000206,0.852498
丙,30,0.000206,0.852498
丞,19,0.000131,1.346050
丟,23,0.000158,1.111954
並,42,0.000289,0.608927
丨,10,0.000069,2.557495
个,32,0.000220,0.799217
丫,18,0.000124,1.420830
中,29,0.000199,0.881895
丰,34,0.000234,0.752204
串,38,0.000261,0.673025
丶,13,0.000089,1.967304
丸,27,0.000186,0.947220
丹,30,0.000206,0.852498
主,26,0.000179,0.983652
丽,23,0.000158,1.111954
丿,13,0.000089,1.967304
乃,21,0.000144,1.217855
久,30,0.000206,0.852498
么,25,0.000172,1.022998
之,22,0.000151,1.162498
乍,23,0.000158,1.111954
乎,36,0.000248,0.710415
乏,24,0.000165,1.065623
乖,31,0.000213,0.824998
乘,32,0.000220,0.799217
乙,36,0.000248,0.710415
九,25,0.000172,1.022998
乞,29,0.000199,0.881895
也,27,0.000186,0.947220
乩,19,0.000131,1.346050
乱,23,0.000158,1.111954
乳,27,0.000186,0.947220
乹,16,0.000110,1.598434
乾,38,0.000261,0.673025
亂,46,0.000316,0.555977
了,32,0.000220,0.799217
予,33,0.000227,0.774998
事,39,0.000268,0.655768
二,32,0.000220,0.799217
于,25,0.000172,1.022998
亏,22,0.000151,1.162498
云,28,0.000193,0.913391
互,26,0.000179,0.983652
五,31,0.000213,0.824998
井,25,0.000172,1.022998
亘,30,0.000206,0.852498
亙,16,0.000110,1.598434
些,24,0.000165,1.065623
亞,22,0.000151,1.162498
亟,18,0.000124,1.420830
亠,16,0.000110,1.598434
亡,37,0.000255,0.691215
亢,29,0.000199,0.881895
交,44,0.000303,0.581249
亥,33,0.000227,0.774998
亦,25,0.000172,1.022998
亨,41,0.000282,0.623779
享,24,0.000165,1.065623
京,43,0.000296,0.594766
亭,37,0.000255,0.691215
亮,27,0.000186,0.947220
亳,24,0.000165,1.065623
人,29,0.000199,0.881895
什,32,0.000220,0.799217
仁,42,0.000289,0.608927
仂,19,0.000131,1.346050
仃,20,0.000138,1.278747
仄,26,0.000179,0.983652
仅,14,0.000096,1.826782
仆,26,0.000179,0.983652
仇,27,0.000186,0.947220
今,29,0.000199,0.881895
介,27,0.000186,0.947220
仍,25,0.000172,1.022998
从,17,0.000117,1.504409
仔,29,0.000199,0.881895
仕,41,0.000282,0.623779
他,32,0.000220,0.799217
仗,36,0.000248,0.710415
付,39,0.000268,0.655768
仙,32,0.000220,0.799217
仝,31,0.000213,0.824998
仞,22,0.000151,1.162498
仟,31,0.000213,0.824998
仡,9,0.000062,2.841661
代,32,0.000220,0.799217
令,32,0.000220,0.799217
以,43,0.000296,0.594766
仰,21,0.000144,1.217855
仲,35,0.000241,0.730713
仳,14,0.000096,1.826782
件,42,0.000289,0.608927
价,29,0.000199,0.881895
任,41,0.000282,0.623779
份,24,0.000165,1.065623
仿,31,0.000213,0.824998
企,31,0.000213,0.824998
伉,25,0.000172,1.022998
伊,32,0.000220,0.799217
伍,27,0.000186,0.947220
伎,16,0.000110,1.598434
伏,30,0.000206,0.852498
伐,23,0.000158,1.111954
休,29,0.000199,0.881895
众,14,0.000096,1.826782
优,23,0.000158,1.111954
伯,21,0.000144,1.217855
估,19,0.000131,1.346050
伴,27,0.000186,0.947220
伶,36,0.000248,0.710415
伸,27,0.000186,0.947220
伺,24,0.000165,1.065623
似,41,0.000282,0.623779
伽,29,0.000199,0.881895
佃,30,0.000206,0.852498
但,30,0.000206,0.852498
佇,13,0.000089,1.967304
佈,41,0.000282,0.623779
位,41,0.000282,0.623779
低,32,0.000220,0.799217
住,36,0.000248,0.710415
佐,25,0.000172,1.022998
佑,25,0.000172,1.022998
体,34,0.000234,0.752204
佔,33,0.000227,0.774998
何,39,0.000268,0.655768
佗,23,0.000158,1.111954
余,37,0.000255,0.691215
佚,16,0.000110,1.598434
佛,21,0.000144,1.217855
作,45,0.000310,0.568332
佝,20,0.000138,1.278747
佞,20,0.000138,1.278747
佩,32,0.000220,0.799217
佬,30,0.000206,0.852498
佯,24,0.000165,1.065623
佰,37,0.000255,0.691215
佳,33,0.000227,0.774998
佶,15,0.000103,1.704996
佻,22,0.000151,1.162498
佼,19,0.000131,1.346050
佾,14,0.000096,1.826782
使,40,0.000275,0.639374
侃,16,0.000110,1.598434
侄,18,0.000124,1.420830
來,42,0.000289,0.608927
侈,37,0.000255,0.691215
例,38,0.000261,0.673025
侍,24,0.000165,1.065623
侏,29,0.000199,0.881895
侑,18,0.000124,1.420830
侔,17,0.000117,1.504409
侖,30,0.000206,0.852498
侗,15,0.000103,1.704996
供,30,0.000206,0.852498
依,21,0.000144,1.217855
侮,34,0.000234,0.752204
侯,25,0.000172,1.022998
侵,24,0.000165,1.065623
侶,26,0.000179,0.983652
侷,32,0.000220,0.799217
便,33,0.000227,0.774998
俁,8,0.000055,3.196868
係,45,0.000310,0.568332
促,27,0.000186,0.947220
俄,24,0.000165,1.065623
俊,22,0.000151,1.162498
俎,22,0.000151,1.162498
俏,29,0.000199,0.881895
俐,24,0.000165,1.065623
俑,21,0.000144,1.217855
俗,29,0.000199,0.881895
俘,24,0.000165,1.065623
俚,26,0.000179,0.983652
保,31,0.000213,0.824998
俞,33,0.000227,0.774998
俟,26,0.000179,0.983652
俠,28,0.000193,0.913391
信,32,0.000220,0.799217
修,41,0.000282,0.623779
俯,19,0.000131,1.346050
俱,24,0.000165,1.065623
俲,28,0.000193,0.913391
俳,26,0.000179,0.983652
俸,20,0.000138,1.278747
俺,35,0.000241,0.730713
俻,27,0.000186,0.947220
俾,27,0.000186,0.947220
倀,16,0.000110,1.598434
倆,24,0.000165,1.065623
